,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Birmingham City,28,,46,506,4140,53,31,5,5,0,0,1.15,0.67,1.83,1.04,1.72
Blackburn,33,,46,506,4140,44,26,5,5,0,0,0.96,0.57,1.52,0.85,1.41
Bolton,34,,46,506,4140,41,21,5,7,0,0,0.89,0.46,1.35,0.78,1.24
Brentford,29,,46,506,4140,70,47,2,4,0,0,1.52,1.02,2.54,1.48,2.50
Brighton,30,,46,506,4140,70,45,5,6,0,0,1.52,0.98,2.50,1.41,2.39
Bristol City,31,,46,506,4140,53,38,3,5,0,0,1.15,0.83,1.98,1.09,1.91
Burnley,25,,46,506,4140,70,49,7,8,0,0,1.52,1.07,2.59,1.37,2.43
Cardiff City,29,,46,506,4140,55,40,6,6,0,0,1.20,0.87,2.07,1.07,1.93
Charlton Ath,37,,46,506,4140,40,35,0,0,0,0,0.87,0.76,1.63,0.87,1.63
Derby County,25,,46,506,4140,65,49,1,2,0,0,1.41,1.07,2.48,1.39,2.46
Fulham,33,,46,506,4140,64,46,2,2,0,0,1.39,1.00,2.39,1.35,2.35
Huddersfield,34,,46,506,4140,55,40,0,2,0,0,1.20,0.87,2.07,1.20,2.07
Hull City,27,,46,506,4140,67,44,3,5,0,0,1.46,0.96,2.41,1.39,2.35
Ipswich Town,31,,46,506,4140,53,43,4,4,0,0,1.15,0.93,2.09,1.07,2.00
Leeds United,26,,46,506,4140,48,37,5,6,0,0,1.04,0.80,1.85,0.93,1.74
Middlesbrough,27,,46,506,4140,60,37,4,6,0,0,1.30,0.80,2.11,1.22,2.02
MK Dons,33,,46,506,4140,37,32,3,6,0,0,0.80,0.70,1.50,0.74,1.43
Nott'ham Forest,34,,46,506,4140,43,34,3,4,0,0,0.93,0.74,1.67,0.87,1.61
Preston,29,,46,506,4140,42,30,2,3,0,0,0.91,0.65,1.57,0.87,1.52
QPR,32,,46,506,4140,53,42,3,3,0,0,1.15,0.91,2.07,1.09,2.00
Reading,30,,46,506,4140,52,39,4,7,0,0,1.13,0.85,1.98,1.04,1.89
Rotherham Utd,39,,46,506,4140,51,38,5,7,0,0,1.11,0.83,1.93,1.00,1.83
Sheffield Weds,29,,46,506,4140,62,40,3,4,0,0,1.35,0.87,2.22,1.28,2.15
Wolves,33,,46,506,4140,49,36,2,2,0,0,1.07,0.78,1.85,1.02,1.80
