,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,25,58.3,38,418,3420,62,53,1,2,42,4,1.63,1.39,3.03,1.61,3.00
Aston Villa,29,46.4,38,418,3420,24,19,2,2,75,3,0.63,0.50,1.13,0.58,1.08
Bournemouth,28,51.2,38,418,3420,43,28,3,4,53,1,1.13,0.74,1.87,1.05,1.79
Chelsea,28,56.2,38,418,3420,55,40,4,5,60,5,1.45,1.05,2.50,1.34,2.39
Crystal Palace,30,45.8,38,418,3420,38,21,4,5,61,2,1.00,0.55,1.55,0.89,1.45
Everton,31,51.9,38,418,3420,56,44,4,5,47,5,1.47,1.16,2.63,1.37,2.53
Leicester City,23,42.6,38,418,3420,68,43,10,13,51,3,1.79,1.13,2.92,1.53,2.66
Liverpool,34,57.2,38,418,3420,62,50,2,2,64,3,1.63,1.32,2.95,1.58,2.89
Manchester City,25,56.9,38,418,3420,71,53,5,8,61,0,1.87,1.39,3.26,1.74,3.13
Manchester Utd,33,58.5,38,418,3420,46,31,3,3,66,1,1.21,0.82,2.03,1.13,1.95
Newcastle Utd,31,46.6,38,418,3420,43,34,3,3,60,5,1.13,0.89,2.03,1.05,1.95
Norwich City,28,46.0,38,418,3420,38,27,1,1,62,3,1.00,0.71,1.71,0.97,1.68
Southampton,26,49.2,38,418,3420,58,45,3,4,60,6,1.53,1.18,2.71,1.45,2.63
Stoke City,27,49.7,38,418,3420,40,29,5,5,52,4,1.05,0.76,1.82,0.92,1.68
Sunderland,31,41.0,38,418,3420,44,30,3,3,66,2,1.16,0.79,1.95,1.08,1.87
Swansea City,27,52.5,38,418,3420,41,25,5,5,60,1,1.08,0.66,1.74,0.95,1.61
Tottenham,24,57.4,38,418,3420,68,50,5,5,72,0,1.79,1.32,3.11,1.66,2.97
Watford,25,45.1,38,418,3420,38,18,6,7,75,3,1.00,0.47,1.47,0.84,1.32
West Brom,28,39.8,38,418,3420,32,25,1,5,65,3,0.84,0.66,1.50,0.82,1.47
West Ham,28,48.4,38,418,3420,64,38,4,4,57,5,1.68,1.00,2.68,1.58,2.58
