Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,MP.1,W.1,D.1,L.1,GF.1,GA.1,GDiff.1,Pts.1,Pts/G.1
17,Sunderland,19,6,6,7,23.0,20.0,3,24.0,1.26,19,3,6,10,25.0,42.0,-17,15.0,0.79
18,Newcastle Utd,19,7,7,5,32.0,24.0,8,28.0,1.47,19,2,3,14,12.0,41.0,-29,9.0,0.47
19,Norwich City,19,6,5,8,26.0,30.0,-4,23.0,1.21,19,3,2,14,13.0,37.0,-24,11.0,0.58
20,Aston Villa,19,2,5,12,14.0,35.0,-21,11.0,0.58,19,1,3,15,13.0,41.0,-28,6.0,0.32
1,Burnley,23,15,6,2,11.176470588235295,8.80503144654088,24,14.285714285714286,2.22,23,11,9,3,10.0,13.20754716981132,13,11.764705882352942,1.83
2,Middlesbrough,23,16,5,2,10.0,5.031446540880503,26,14.84593837535014,2.3,23,10,6,7,8.529411764705882,14.465408805031446,6,10.084033613445378,1.57
3,Brighton,23,15,5,3,11.764705882352942,11.320754716981131,22,14.005602240896359,2.17,23,9,12,2,9.411764705882353,15.094339622641508,8,10.92436974789916,1.7
4,Hull City,23,15,7,1,13.823529411764707,7.547169811320754,35,14.565826330532213,2.26,23,9,4,10,6.470588235294118,14.465408805031446,-1,8.683473389355743,1.35
5,Derby County,23,12,7,4,10.882352941176471,10.062893081761006,21,12.044817927170868,1.87,23,9,8,6,8.529411764705882,16.9811320754717,2,9.803921568627452,1.52
6,Sheffield Weds,23,13,8,2,12.352941176470589,10.69182389937107,25,13.165266106442578,2.04,23,6,9,8,7.0588235294117645,17.61006289308176,-4,7.563025210084034,1.17
7,Ipswich Town,23,9,8,6,8.23529411764706,15.094339622641508,4,9.803921568627452,1.52,23,9,7,7,7.352941176470589,16.9811320754717,-2,9.523809523809524,1.48
8,Cardiff City,23,12,9,2,9.705882352941178,12.578616352201257,13,12.605042016806724,1.96,23,5,8,10,6.764705882352941,19.49685534591195,-8,6.442577030812325,1.0
9,Brentford,23,10,4,9,9.705882352941178,18.867924528301884,3,9.523809523809524,1.48,23,9,4,10,11.470588235294118,23.270440251572325,2,8.683473389355743,1.35
10,Birmingham City,23,9,5,9,7.9411764705882355,16.9811320754717,0,8.96358543417367,1.39,23,7,10,6,7.647058823529412,13.836477987421382,4,8.683473389355743,1.35
11,Preston,23,7,10,6,6.176470588235294,13.20754716981132,0,8.683473389355743,1.35,23,8,7,8,7.0588235294117645,15.094339622641508,0,8.683473389355743,1.35
12,QPR,23,10,9,4,10.882352941176471,15.723270440251572,12,10.92436974789916,1.7,23,4,9,10,5.0,18.238993710691823,-12,5.882352941176471,0.91
13,Leeds United,23,7,8,8,6.764705882352941,17.61006289308176,-5,8.123249299719888,1.26,23,7,9,7,7.9411764705882355,18.867924528301884,-3,8.403361344537815,1.3
14,Wolves,23,7,10,6,7.647058823529412,16.352201257861633,0,8.683473389355743,1.35,23,7,6,10,7.9411764705882355,20.12578616352201,-5,7.563025210084034,1.17
15,Blackburn,23,8,8,7,8.529411764705882,14.465408805031446,6,8.96358543417367,1.39,23,5,8,10,5.0,14.465408805031446,-6,6.442577030812325,1.0
16,Nott'ham Forest,23,7,8,8,7.352941176470589,16.352201257861633,-1,8.123249299719888,1.26,23,6,8,9,5.294117647058823,13.20754716981132,-3,7.282913165266106,1.13
17,Reading,23,8,9,6,7.352941176470589,12.578616352201257,5,9.243697478991598,1.43,23,5,4,14,7.9411764705882355,24.528301886792452,-12,5.322128851540617,0.83
18,Bristol City,23,7,7,9,10.0,21.38364779874214,0,7.843137254901961,1.22,23,6,6,11,5.882352941176471,23.270440251572325,-17,6.722689075630252,1.04
19,Huddersfield,23,7,6,10,9.705882352941178,20.754716981132074,0,7.563025210084034,1.17,23,6,6,11,7.647058823529412,23.270440251572325,-11,6.722689075630252,1.04
20,Fulham,23,8,5,10,10.588235294117647,22.641509433962263,0,8.123249299719888,1.26,23,4,10,9,8.823529411764707,27.044025157232703,-13,6.162464985994398,0.96
21,Rotherham Utd,23,8,6,9,9.117647058823529,21.38364779874214,-3,8.403361344537815,1.3,23,5,4,14,6.470588235294118,23.270440251572325,-15,5.322128851540617,0.83
22,Charlton Ath,23,5,8,10,6.764705882352941,22.0125786163522,-12,6.442577030812325,1.0,23,4,5,14,5.0,28.30188679245283,-28,4.761904761904762,0.74
23,MK Dons,23,7,3,13,6.176470588235294,23.270440251572325,-16,6.722689075630252,1.04,23,2,9,12,5.294117647058823,20.12578616352201,-14,4.201680672268908,0.65
24,Bolton,23,5,11,7,7.0588235294117645,16.352201257861633,-2,7.282913165266106,1.13,23,0,4,19,5.0,34.59119496855346,-38,1.1204481792717087,0.17
