Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,MP.1,W.1,D.1,L.1,GF.1,GA.1,GDiff.1,Pts.1,Pts/G.1
1,Leicester City,19,12,6,1,35.0,18.0,17,42.0,2.21,19,11,6,2,33.0,18.0,15,39.0,2.05
2,Arsenal,19,12,4,3,31.0,11.0,20,40.0,2.11,19,8,7,4,34.0,25.0,9,31.0,1.63
3,Tottenham,19,10,6,3,35.0,15.0,20,36.0,1.89,19,9,7,3,34.0,20.0,14,34.0,1.79
4,Manchester City,19,12,2,5,47.0,21.0,26,38.0,2.0,19,7,7,5,24.0,20.0,4,28.0,1.47
5,Manchester Utd,19,12,5,2,27.0,9.0,18,41.0,2.16,19,7,4,8,22.0,26.0,-4,25.0,1.32
6,Southampton,19,11,3,5,39.0,22.0,17,36.0,1.89,19,7,6,6,20.0,19.0,1,27.0,1.42
7,West Ham,19,9,7,3,34.0,26.0,8,34.0,1.79,19,7,7,5,31.0,25.0,6,28.0,1.47
8,Liverpool,19,8,8,3,33.0,22.0,11,32.0,1.68,19,8,4,7,30.0,28.0,2,28.0,1.47
9,Stoke City,19,8,4,7,22.0,24.0,-2,28.0,1.47,19,6,5,8,19.0,31.0,-12,23.0,1.21
10,Chelsea,19,5,9,5,32.0,30.0,2,24.0,1.26,19,7,5,7,27.0,23.0,4,26.0,1.37
11,Everton,19,6,5,8,35.0,30.0,5,23.0,1.21,19,5,9,5,24.0,25.0,-1,24.0,1.26
12,Swansea City,19,8,6,5,20.0,20.0,0,30.0,1.58,19,4,5,10,22.0,32.0,-10,17.0,0.89
13,Watford,19,6,6,7,20.0,19.0,1,24.0,1.26,19,6,3,10,20.0,31.0,-11,21.0,1.11
14,West Brom,19,6,5,8,20.0,26.0,-6,23.0,1.21,19,4,8,7,14.0,22.0,-8,20.0,1.05
15,Crystal Palace,19,6,3,10,19.0,23.0,-4,21.0,1.11,19,5,6,8,20.0,28.0,-8,21.0,1.11
16,Bournemouth,19,5,5,9,23.0,34.0,-11,20.0,1.05,19,6,4,9,22.0,33.0,-11,22.0,1.16
