,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Aston Villa,35,49.2,46,506,4140,46,33,6,7,0,1,1.00,0.72,1.72,0.87,1.59
Barnsley,32,46.7,46,506,4140,62,46,1,2,0,0,1.35,1.00,2.35,1.33,2.33
Birmingham City,30,44.3,46,506,4140,45,22,9,12,0,2,0.98,0.48,1.46,0.78,1.26
Blackburn,31,45.3,46,506,4140,49,34,6,8,0,2,1.07,0.74,1.80,0.93,1.67
Brentford,30,50.9,46,506,4140,73,57,2,5,0,2,1.59,1.24,2.83,1.54,2.78
Brighton,28,51.9,46,505,4140,74,44,10,11,0,4,1.61,0.96,2.57,1.39,2.35
Bristol City,32,50.6,46,506,4140,59,42,6,8,0,1,1.28,0.91,2.20,1.15,2.07
Burton Albion,30,47.1,46,506,4140,49,29,1,1,0,1,1.07,0.63,1.70,1.04,1.67
Cardiff City,33,43.4,46,506,4140,58,35,7,7,0,1,1.26,0.76,2.02,1.11,1.87
Derby County,28,49.7,46,506,4140,52,32,5,8,0,1,1.13,0.70,1.83,1.02,1.72
Fulham,27,61.3,46,506,4140,83,56,4,11,0,1,1.80,1.22,3.02,1.72,2.93
Huddersfield,25,57.9,46,506,4140,55,35,2,4,0,2,1.20,0.76,1.96,1.15,1.91
Ipswich Town,32,48.1,46,506,4140,47,35,3,3,0,0,1.02,0.76,1.78,0.96,1.72
Leeds United,25,51.4,46,506,4140,59,41,6,6,0,2,1.28,0.89,2.17,1.15,2.04
Newcastle Utd,30,55.8,46,506,4140,82,50,3,5,0,0,1.78,1.09,2.87,1.72,2.80
Norwich City,28,53.2,46,505,4140,82,65,5,7,0,1,1.78,1.41,3.20,1.67,3.09
Nott'ham Forest,38,48.9,46,506,4140,60,35,7,8,0,8,1.30,0.76,2.07,1.15,1.91
Preston,29,44.7,46,506,4140,62,49,2,3,0,0,1.35,1.07,2.41,1.30,2.37
QPR,37,48.2,46,506,4140,49,30,5,6,0,4,1.07,0.65,1.72,0.96,1.61
Reading,28,60.6,46,506,4140,67,41,6,12,0,2,1.46,0.89,2.35,1.33,2.22
Rotherham Utd,35,39.2,46,506,4140,38,29,0,1,0,1,0.83,0.63,1.46,0.83,1.46
Sheffield Weds,30,53.3,46,506,4140,58,39,5,7,0,2,1.26,0.85,2.11,1.15,2.00
Wigan Athletic,41,50.7,46,506,4140,37,31,2,2,0,0,0.80,0.67,1.48,0.76,1.43
Wolves,35,47.9,46,506,4140,53,38,4,6,0,1,1.15,0.83,1.98,1.07,1.89
