Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,MP.1,W.1,D.1,L.1,GF.1,GA.1,GDiff.1,Pts.1,Pts/G.1
1,Chelsea,19,17,0,2,55.0,17.0,38,51.0,2.68,19,13,3,3,30.0,16.0,14,42.0,2.21
2,Tottenham,19,17,2,0,47.0,9.0,38,53.0,2.79,19,9,6,4,39.0,17.0,22,33.0,1.74
3,Manchester City,19,11,7,1,37.0,17.0,20,40.0,2.11,19,12,2,5,43.0,22.0,21,38.0,2.0
4,Liverpool,19,12,5,2,45.0,18.0,27,41.0,2.16,19,10,5,4,33.0,24.0,9,35.0,1.84
5,Arsenal,19,14,3,2,39.0,16.0,23,45.0,2.37,19,9,3,7,38.0,28.0,10,30.0,1.58
6,Manchester Utd,19,8,10,1,26.0,12.0,14,34.0,1.79,19,10,5,4,28.0,17.0,11,35.0,1.84
7,Everton,19,13,4,2,42.0,16.0,26,43.0,2.26,19,4,6,9,20.0,28.0,-8,18.0,0.95
8,Southampton,19,6,6,7,17.0,21.0,-4,24.0,1.26,19,6,4,9,24.0,27.0,-3,22.0,1.16
9,Bournemouth,19,9,4,6,35.0,29.0,6,31.0,1.63,19,3,6,10,20.0,38.0,-18,15.0,0.79
10,West Brom,19,9,2,8,27.0,22.0,5,29.0,1.53,19,3,7,9,16.0,29.0,-13,16.0,0.84
11,West Ham,19,7,4,8,19.0,31.0,-12,25.0,1.32,19,5,5,9,28.0,33.0,-5,20.0,1.05
12,Leicester City,19,10,4,5,31.0,25.0,6,34.0,1.79,19,2,4,13,17.0,38.0,-21,10.0,0.53
13,Stoke City,19,7,6,6,24.0,24.0,0,27.0,1.42,19,4,5,10,17.0,32.0,-15,17.0,0.89
14,Crystal Palace,19,6,2,11,24.0,25.0,-1,20.0,1.05,19,6,3,10,26.0,38.0,-12,21.0,1.11
15,Swansea City,19,8,3,8,27.0,34.0,-7,27.0,1.42,19,4,2,13,18.0,36.0,-18,14.0,0.74
16,Burnley,19,10,3,6,26.0,20.0,6,33.0,1.74,19,1,4,14,13.0,35.0,-22,7.0,0.37
17,Watford,19,8,4,7,25.0,29.0,-4,28.0,1.47,19,3,3,13,15.0,39.0,-24,12.0,0.63
18,Hull City,19,8,4,7,28.0,35.0,-7,28.0,1.47,19,1,3,15,9.0,45.0,-36,6.0,0.32
19,Middlesbrough,19,4,6,9,17.0,23.0,-6,18.0,0.95,19,1,7,11,10.0,30.0,-20,10.0,0.53
20,Sunderland,19,3,5,11,16.0,34.0,-18,14.0,0.74,19,3,1,15,13.0,35.0,-22,10.0,0.53
1,Newcastle Utd,23,15,3,5,14.411764705882353,14.465408805031446,26,13.445378151260504,2.09,23,14,4,5,10.588235294117647,10.69182389937107,19,12.88515406162465,2.0
2,Brighton,23,17,3,3,13.529411764705882,8.80503144654088,32,15.126050420168069,2.35,23,11,6,6,8.23529411764706,16.352201257861633,2,10.92436974789916,1.7
3,Reading,23,16,5,2,10.294117647058824,10.062893081761006,19,14.84593837535014,2.3,23,10,2,11,9.705882352941178,30.188679245283016,-15,8.96358543417367,1.39
4,Sheffield Weds,23,15,2,6,10.588235294117647,13.836477987421382,14,13.165266106442578,2.04,23,9,7,7,7.0588235294117645,14.465408805031446,1,9.523809523809524,1.48
5,Huddersfield,23,15,2,6,10.0,16.352201257861633,8,13.165266106442578,2.04,23,10,4,9,6.470588235294118,20.12578616352201,-10,9.523809523809524,1.48
6,Fulham,23,10,8,5,13.23529411764706,20.12578616352201,13,10.644257703081234,1.65,23,12,6,5,11.764705882352942,15.723270440251572,15,11.764705882352942,1.83
7,Leeds United,23,14,4,5,9.411764705882353,10.062893081761006,16,12.88515406162465,2.0,23,8,5,10,8.529411764705882,19.49685534591195,-2,8.123249299719888,1.26
8,Norwich City,23,15,4,4,16.176470588235293,13.836477987421382,33,13.725490196078432,2.13,23,5,6,12,8.823529411764707,29.559748427672954,-17,5.882352941176471,0.91
9,Derby County,23,11,8,4,9.705882352941178,12.578616352201257,13,11.484593837535014,1.78,23,7,5,11,6.176470588235294,18.867924528301884,-9,7.282913165266106,1.13
10,Brentford,23,11,5,7,12.352941176470589,15.723270440251572,17,10.644257703081234,1.65,23,7,5,11,9.705882352941178,25.157232704402514,-7,7.282913165266106,1.13
11,Preston,23,11,6,6,11.764705882352942,16.352201257861633,14,10.92436974789916,1.7,23,5,8,10,7.0588235294117645,23.270440251572325,-13,6.442577030812325,1.0
12,Cardiff City,23,11,4,8,9.117647058823529,16.352201257861633,5,10.364145658263306,1.61,23,6,7,10,8.529411764705882,22.0125786163522,-6,7.002801120448179,1.09
13,Aston Villa,23,12,8,3,9.705882352941178,12.578616352201257,13,12.324929971988796,1.91,23,4,6,13,4.11764705882353,17.61006289308176,-14,5.042016806722689,0.78
14,Barnsley,23,6,11,6,9.411764705882353,20.754716981132074,-1,8.123249299719888,1.26,23,9,2,12,9.411764705882353,21.38364779874214,-2,8.123249299719888,1.26
15,Wolves,23,8,4,11,7.352941176470589,18.867924528301884,-5,7.843137254901961,1.22,23,8,6,9,8.529411764705882,17.61006289308176,1,8.403361344537815,1.3
16,Ipswich Town,23,8,10,5,8.823529411764707,15.094339622641508,6,9.523809523809524,1.48,23,5,6,12,5.294117647058823,21.38364779874214,-16,5.882352941176471,0.91
17,Bristol City,23,11,4,8,9.705882352941178,16.352201257861633,7,10.364145658263306,1.61,23,4,5,14,7.9411764705882355,25.157232704402514,-13,4.761904761904762,0.74
18,QPR,23,9,4,10,8.823529411764707,20.12578616352201,-2,8.683473389355743,1.35,23,6,4,13,6.470588235294118,21.38364779874214,-12,6.162464985994398,0.96
19,Birmingham City,23,8,5,10,7.352941176470589,19.49685534591195,-6,8.123249299719888,1.26,23,5,9,9,5.882352941176471,20.754716981132074,-13,6.722689075630252,1.04
20,Burton Albion,23,9,4,10,8.23529411764706,18.867924528301884,-2,8.683473389355743,1.35,23,4,9,10,6.176470588235294,20.754716981132074,-12,5.882352941176471,0.91
21,Nott'ham Forest,23,12,4,7,12.352941176470589,18.867924528301884,12,11.204481792717088,1.74,23,2,5,16,5.882352941176471,26.41509433962264,-22,3.081232492997199,0.48
22,Blackburn,23,8,8,7,8.529411764705882,18.867924528301884,-1,8.96358543417367,1.39,23,4,7,12,7.0588235294117645,22.0125786163522,-11,5.322128851540617,0.83
23,Wigan Athletic,23,5,8,10,5.588235294117648,16.352201257861633,-7,6.442577030812325,1.0,23,5,4,14,6.176470588235294,19.49685534591195,-10,5.322128851540617,0.83
24,Rotherham Utd,23,5,6,12,6.764705882352941,21.38364779874214,-11,5.882352941176471,0.91,23,0,2,21,5.0,40.25157232704402,-47,0.5602240896358543,0.09
