Squad,# Pl,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK
Arsenal,25,58.3,38,418,3420,62,53,1,2,42,4,1.63,1.39,3.03,1.61,3.0
Aston Villa,29,46.4,38,418,3420,24,19,2,2,75,3,0.63,0.5,1.13,0.58,1.08
Bournemouth,28,51.2,38,418,3420,43,28,3,4,53,1,1.13,0.74,1.87,1.05,1.79
Chelsea,28,56.2,38,418,3420,55,40,4,5,60,5,1.45,1.05,2.5,1.34,2.39
Crystal Palace,30,45.8,38,418,3420,38,21,4,5,61,2,1.0,0.55,1.55,0.89,1.45
Everton,31,51.9,38,418,3420,56,44,4,5,47,5,1.47,1.16,2.63,1.37,2.53
Leicester City,23,42.6,38,418,3420,68,43,10,13,51,3,1.79,1.13,2.92,1.53,2.66
Liverpool,34,57.2,38,418,3420,62,50,2,2,64,3,1.63,1.32,2.95,1.58,2.89
Manchester City,25,56.9,38,418,3420,71,53,5,8,61,0,1.87,1.39,3.26,1.74,3.13
Manchester Utd,33,58.5,38,418,3420,46,31,3,3,66,1,1.21,0.82,2.03,1.13,1.95
Newcastle Utd,31,46.6,38,418,3420,43,34,3,3,60,5,1.13,0.89,2.03,1.05,1.95
Norwich City,28,46.0,38,418,3420,38,27,1,1,62,3,1.0,0.71,1.71,0.97,1.68
Southampton,26,49.2,38,418,3420,58,45,3,4,60,6,1.53,1.18,2.71,1.45,2.63
Stoke City,27,49.7,38,418,3420,40,29,5,5,52,4,1.05,0.76,1.82,0.92,1.68
Sunderland,31,41.0,38,418,3420,44,30,3,3,66,2,1.16,0.79,1.95,1.08,1.87
Swansea City,27,52.5,38,418,3420,41,25,5,5,60,1,1.08,0.66,1.74,0.95,1.61
Tottenham,24,57.4,38,418,3420,68,50,5,5,72,0,1.79,1.32,3.11,1.66,2.97
Watford,25,45.1,38,418,3420,38,18,6,7,75,3,1.0,0.47,1.47,0.84,1.32
West Brom,28,39.8,38,418,3420,32,25,1,5,65,3,0.84,0.66,1.5,0.82,1.47
West Ham,28,48.4,38,418,3420,64,38,4,4,57,5,1.68,1.0,2.68,1.58,2.58
Birmingham City,28,,46,506,4140,53,31,5,5,0,0,1.15,0.67,1.83,1.04,1.72
Blackburn,33,,46,506,4140,44,26,5,5,0,0,0.96,0.57,1.52,0.85,1.41
Bolton,34,,46,506,4140,41,21,5,7,0,0,0.89,0.46,1.35,0.78,1.24
Brentford,29,,46,506,4140,70,47,2,4,0,0,1.52,1.02,2.54,1.48,2.5
Brighton,30,,46,506,4140,70,45,5,6,0,0,1.52,0.98,2.5,1.41,2.39
Bristol City,31,,46,506,4140,53,38,3,5,0,0,1.15,0.83,1.98,1.09,1.91
Burnley,25,,46,506,4140,70,49,7,8,0,0,1.52,1.07,2.59,1.37,2.43
Cardiff City,29,,46,506,4140,55,40,6,6,0,0,1.2,0.87,2.07,1.07,1.93
Charlton Ath,37,,46,506,4140,40,35,0,0,0,0,0.87,0.76,1.63,0.87,1.63
Derby County,25,,46,506,4140,65,49,1,2,0,0,1.41,1.07,2.48,1.39,2.46
Fulham,33,,46,506,4140,64,46,2,2,0,0,1.39,1.0,2.39,1.35,2.35
Huddersfield,34,,46,506,4140,55,40,0,2,0,0,1.2,0.87,2.07,1.2,2.07
Hull City,27,,46,506,4140,67,44,3,5,0,0,1.46,0.96,2.41,1.39,2.35
Ipswich Town,31,,46,506,4140,53,43,4,4,0,0,1.15,0.93,2.09,1.07,2.0
Leeds United,26,,46,506,4140,48,37,5,6,0,0,1.04,0.8,1.85,0.93,1.74
Middlesbrough,27,,46,506,4140,60,37,4,6,0,0,1.3,0.8,2.11,1.22,2.02
MK Dons,33,,46,506,4140,37,32,3,6,0,0,0.8,0.7,1.5,0.74,1.43
Nott'ham Forest,34,,46,506,4140,43,34,3,4,0,0,0.93,0.74,1.67,0.87,1.61
Preston,29,,46,506,4140,42,30,2,3,0,0,0.91,0.65,1.57,0.87,1.52
QPR,32,,46,506,4140,53,42,3,3,0,0,1.15,0.91,2.07,1.09,2.0
Reading,30,,46,506,4140,52,39,4,7,0,0,1.13,0.85,1.98,1.04,1.89
Rotherham Utd,39,,46,506,4140,51,38,5,7,0,0,1.11,0.83,1.93,1.0,1.83
Sheffield Weds,29,,46,506,4140,62,40,3,4,0,0,1.35,0.87,2.22,1.28,2.15
Wolves,33,,46,506,4140,49,36,2,2,0,0,1.07,0.78,1.85,1.02,1.8
