,,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G
1,Wolves,23,16,5,2,47,18,+29,53,2.30,23,14,4,5,35,21,+14,46,2.00
2,Cardiff City,23,16,4,3,40,16,+24,52,2.26,23,11,5,7,29,23,+6,38,1.65
3,Fulham,23,13,8,2,40,17,+23,47,2.04,23,12,5,6,39,29,+10,41,1.78
4,Aston Villa,23,14,7,2,42,19,+23,49,2.13,23,10,4,9,30,23,+7,34,1.48
5,Middlesbrough,23,14,3,6,33,17,+16,45,1.96,23,8,7,8,34,28,+6,31,1.35
6,Derby County,23,12,5,6,41,22,+19,41,1.78,23,8,10,5,29,26,+3,34,1.48
7,Preston,23,9,8,6,27,22,+5,35,1.52,23,10,8,5,30,24,+6,38,1.65
8,Millwall,23,12,7,4,33,21,+12,43,1.87,23,7,8,8,23,24,-1,29,1.26
9,Brentford,23,9,11,3,37,24,+13,38,1.65,23,9,4,10,25,28,-3,31,1.35
10,Sheffield Utd,23,12,5,6,33,20,+13,41,1.78,23,8,4,11,29,35,-6,28,1.22
11,Bristol City,23,11,6,6,41,28,+13,39,1.70,23,6,10,7,26,30,-4,28,1.22
12,Ipswich Town,23,9,6,8,29,27,+2,33,1.43,23,8,3,12,28,33,-5,27,1.17
13,Leeds United,23,10,6,7,32,27,+5,36,1.57,23,7,3,13,27,37,-10,24,1.04
14,Norwich City,23,8,8,7,25,25,0,32,1.39,23,7,7,9,24,35,-11,28,1.22
15,Sheffield Weds,23,8,7,8,37,31,+6,31,1.35,23,6,8,9,22,29,-7,26,1.13
16,QPR,23,12,5,6,38,31,+7,41,1.78,23,3,6,14,20,39,-19,15,0.65
17,Nott'ham Forest,23,10,3,10,25,27,-2,33,1.43,23,5,5,13,26,38,-12,20,0.87
18,Hull City,23,7,8,8,41,32,+9,29,1.26,23,4,8,11,29,38,-9,20,0.87
19,Birmingham City,23,10,3,10,21,24,-3,33,1.43,23,3,4,16,17,44,-27,13,0.57
20,Reading,23,5,8,10,25,35,-10,23,1.00,23,5,6,12,23,35,-12,21,0.91
21,Bolton,23,9,4,10,25,33,-8,31,1.35,23,1,9,13,14,41,-27,12,0.52
22,Barnsley,23,5,9,9,25,32,-7,24,1.04,23,4,5,14,23,40,-17,17,0.74
23,Burton Albion,23,4,5,14,19,43,-24,17,0.74,23,6,6,11,19,38,-19,24,1.04
24,Sunderland,23,3,7,13,23,39,-16,16,0.70,23,4,9,10,29,41,-12,21,0.91
