Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,xG,xGA,xGDiff,xGDiff/90,MP.1,W.1,D.1,L.1,GF.1,GA.1,GDiff.1,Pts.1,Pts/G.1,xG.1,xGA.1,xGDiff.1,xGDiff/90.1
14,Bournemouth,19,8,5,6,30.0,25.0,5,29.0,1.53,28.6,24.3,4.3,0.23,19,5,1,13,26.0,45.0,-19,16.0,0.84,25.1,30.5,-5.4,-0.28
15,Burnley,19,7,2,10,24.0,32.0,-8,23.0,1.21,24.1,27.6,-3.5,-0.18,19,4,5,10,21.0,36.0,-15,17.0,0.89,17.3,35.4,-18.1,-0.95
16,Southampton,19,5,8,6,27.0,30.0,-3,23.0,1.21,22.9,24.9,-2.1,-0.11,19,4,4,11,18.0,35.0,-17,16.0,0.84,22.3,29.9,-7.5,-0.4
17,Brighton,19,6,5,8,19.0,28.0,-9,23.0,1.21,20.8,22.8,-2.1,-0.11,19,3,4,12,16.0,32.0,-16,13.0,0.68,14.0,32.3,-18.3,-0.96
18,Cardiff City,19,6,2,11,21.0,38.0,-17,20.0,1.05,22.7,25.6,-2.8,-0.15,19,4,2,13,13.0,31.0,-18,14.0,0.74,16.9,36.2,-19.3,-1.01
19,Fulham,19,6,3,10,22.0,36.0,-14,21.0,1.11,22.7,27.6,-4.9,-0.26,19,1,2,16,12.0,45.0,-33,5.0,0.26,16.8,37.7,-20.9,-1.1
20,Huddersfield,19,2,3,14,10.0,31.0,-21,9.0,0.47,16.0,30.0,-14.0,-0.74,19,1,4,14,12.0,45.0,-33,7.0,0.37,14.1,32.2,-18.1,-0.95
1,Norwich City,23,15,4,4,15.0,21.38364779874214,17,13.725490196078432,2.13,,,,,23,12,9,2,12.352941176470589,14.465408805031446,19,12.605042016806724,1.96,,,,
2,Sheffield Utd,23,15,4,4,12.352941176470589,10.69182389937107,25,13.725490196078432,2.13,,,,,23,11,7,5,10.588235294117647,15.094339622641508,12,11.204481792717088,1.74,,,,
3,Leeds United,23,14,4,5,11.176470588235295,13.20754716981132,17,12.88515406162465,2.0,,,,,23,11,4,8,10.294117647058824,18.238993710691823,6,10.364145658263306,1.61,,,,
4,West Brom,23,12,7,4,15.588235294117647,19.49685534591195,22,12.044817927170868,1.87,,,,,23,11,4,8,10.0,19.49685534591195,3,10.364145658263306,1.61,,,,
5,Aston Villa,23,11,8,4,14.705882352941178,22.641509433962263,14,11.484593837535014,1.78,,,,,23,9,8,6,9.411764705882353,15.723270440251572,7,9.803921568627452,1.52,,,,
6,Derby County,23,13,7,3,11.764705882352942,12.578616352201257,20,12.88515406162465,2.0,,,,,23,7,7,9,8.529411764705882,21.38364779874214,-5,7.843137254901961,1.22,,,,
7,Middlesbrough,23,10,6,7,6.764705882352941,10.69182389937107,6,10.084033613445378,1.57,,,,,23,10,7,6,7.647058823529412,15.094339622641508,2,10.364145658263306,1.61,,,,
8,Bristol City,23,8,8,7,8.23529411764706,16.352201257861633,2,8.96358543417367,1.39,,,,,23,11,5,7,9.117647058823529,16.9811320754717,4,10.644257703081234,1.65,,,,
9,Nott'ham Forest,23,13,4,6,10.0,13.20754716981132,13,12.044817927170868,1.87,,,,,23,4,11,8,7.9411764705882355,20.754716981132074,-6,6.442577030812325,1.0,,,,
10,Swansea City,23,12,6,5,12.352941176470589,17.61006289308176,14,11.764705882352942,1.83,,,,,23,6,5,12,6.764705882352941,21.38364779874214,-11,6.442577030812325,1.0,,,,
11,Brentford,23,14,4,5,14.705882352941178,14.465408805031446,27,12.88515406162465,2.0,,,,,23,3,9,11,6.764705882352941,22.641509433962263,-13,5.042016806722689,0.78,,,,
12,Sheffield Weds,23,10,8,5,10.0,16.9811320754717,7,10.644257703081234,1.65,,,,,23,6,8,9,7.647058823529412,22.0125786163522,-9,7.282913165266106,1.13,,,,
13,Hull City,23,11,6,6,10.882352941176471,15.094339622641508,13,10.92436974789916,1.7,,,,,23,6,5,12,8.529411764705882,27.672955974842765,-15,6.442577030812325,1.0,,,,
14,Preston,23,8,10,5,12.058823529411764,18.867924528301884,11,9.523809523809524,1.48,,,,,23,8,3,12,7.647058823529412,23.270440251572325,-11,7.563025210084034,1.17,,,,
15,Blackburn,23,10,7,6,9.411764705882353,13.20754716981132,11,10.364145658263306,1.61,,,,,23,6,5,12,9.411764705882353,30.188679245283016,-16,6.442577030812325,1.0,,,,
16,Stoke City,23,8,9,6,7.647058823529412,15.094339622641508,2,9.243697478991598,1.43,,,,,23,3,13,7,5.588235294117648,17.61006289308176,-9,6.162464985994398,0.96,,,,
17,Birmingham City,23,7,11,5,9.117647058823529,15.094339622641508,7,8.96358543417367,1.39,,,,,23,7,8,8,9.705882352941178,21.38364779874214,-1,8.123249299719888,1.26,,,,
18,Wigan Athletic,23,11,8,4,8.529411764705882,12.578616352201257,9,11.484593837535014,1.78,,,,,23,2,5,16,6.470588235294118,27.672955974842765,-22,3.081232492997199,0.48,,,,
19,QPR,23,9,3,11,9.705882352941178,19.49685534591195,2,8.403361344537815,1.3,,,,,23,5,6,12,5.882352941176471,25.157232704402514,-20,5.882352941176471,0.91,,,,
20,Reading,23,8,6,9,8.529411764705882,19.49685534591195,-2,8.403361344537815,1.3,,,,,23,2,11,10,5.882352941176471,22.0125786163522,-15,4.761904761904762,0.74,,,,
21,Millwall,23,7,9,7,7.647058823529412,16.9811320754717,-1,8.403361344537815,1.3,,,,,23,3,5,15,6.470588235294118,23.270440251572325,-15,3.9215686274509807,0.61,,,,
22,Rotherham Utd,23,7,8,8,9.411764705882353,23.89937106918239,-6,8.123249299719888,1.26,,,,,23,1,8,14,5.882352941176471,28.30188679245283,-25,3.081232492997199,0.48,,,,
23,Bolton,23,4,4,15,3.823529411764706,22.0125786163522,-22,4.481792717086835,0.7,,,,,23,4,4,15,4.705882352941177,27.044025157232703,-27,4.481792717086835,0.7,,,,
24,Ipswich Town,23,3,11,9,6.470588235294118,19.49685534591195,-9,5.602240896358544,0.87,,,,,23,2,5,16,4.11764705882353,28.930817610062892,-32,3.081232492997199,0.48,,,,
