,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Barnsley,29,53.2,37,407,3330,41,31,2,2,80,1,1.11,0.84,1.95,1.05,1.89
Birmingham City,28,45.9,37,407,3330,45,34,1,2,65,2,1.22,0.92,2.14,1.19,2.11
Blackburn,25,51.9,37,407,3330,48,33,4,5,59,2,1.30,0.89,2.19,1.19,2.08
Brentford,29,57.9,37,407,3330,62,41,4,5,41,1,1.68,1.11,2.78,1.57,2.68
Bristol City,31,46.1,37,407,3330,48,35,2,2,56,2,1.30,0.95,2.24,1.24,2.19
Cardiff City,28,41.5,37,407,3330,49,33,3,4,60,2,1.32,0.89,2.22,1.24,2.14
Charlton Ath,33,45.5,37,407,3330,43,31,5,5,86,0,1.16,0.84,2.00,1.03,1.86
Derby County,29,52.3,37,407,3330,48,33,6,8,71,3,1.30,0.89,2.19,1.14,2.03
Fulham,27,62.2,37,407,3330,51,37,2,3,65,3,1.38,1.00,2.38,1.32,2.32
Huddersfield,36,50.8,37,407,3330,44,29,5,5,72,1,1.19,0.78,1.97,1.05,1.84
Hull City,30,43.7,37,407,3330,45,29,1,2,64,2,1.22,0.78,2.00,1.19,1.97
Leeds United,25,64.9,37,407,3330,50,33,3,5,58,2,1.35,0.89,2.24,1.27,2.16
Luton Town,27,47.4,37,407,3330,40,23,4,5,52,0,1.08,0.62,1.70,0.97,1.59
Middlesbrough,30,46.3,37,407,3330,35,26,2,4,61,4,0.95,0.70,1.65,0.89,1.59
Millwall,23,42.4,37,407,3330,43,29,5,6,57,3,1.16,0.78,1.95,1.03,1.81
Nott'ham Forest,28,46.7,37,407,3330,47,36,3,4,63,1,1.27,0.97,2.24,1.19,2.16
Preston,25,51.6,37,407,3330,50,24,10,11,56,2,1.35,0.65,2.00,1.08,1.73
QPR,25,53.3,37,407,3330,57,37,4,4,82,3,1.54,1.00,2.54,1.43,2.43
Reading,30,46.3,37,407,3330,45,33,5,6,66,1,1.22,0.89,2.11,1.08,1.97
Sheffield Weds,26,47.5,37,407,3330,45,31,6,6,75,5,1.22,0.84,2.05,1.05,1.89
Stoke City,33,47.5,37,407,3330,47,29,3,3,49,1,1.27,0.78,2.05,1.19,1.97
Swansea City,28,52.2,37,407,3330,46,30,4,4,58,2,1.24,0.81,2.05,1.14,1.95
West Brom,25,56.1,37,407,3330,61,40,6,6,64,2,1.65,1.08,2.73,1.49,2.57
Wigan Athletic,28,47.9,37,407,3330,33,23,2,4,77,4,0.89,0.62,1.51,0.84,1.46
