,,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G
1,Burnley,23,15,6,2,38,14,+24,51,2.22,23,11,9,3,34,21,+13,42,1.83
2,Middlesbrough,23,16,5,2,34,8,+26,53,2.30,23,10,6,7,29,23,+6,36,1.57
3,Brighton,23,15,5,3,40,18,+22,50,2.17,23,9,12,2,32,24,+8,39,1.70
4,Hull City,23,15,7,1,47,12,+35,52,2.26,23,9,4,10,22,23,-1,31,1.35
5,Derby County,23,12,7,4,37,16,+21,43,1.87,23,9,8,6,29,27,+2,35,1.52
6,Sheffield Weds,23,13,8,2,42,17,+25,47,2.04,23,6,9,8,24,28,-4,27,1.17
7,Ipswich Town,23,9,8,6,28,24,+4,35,1.52,23,9,7,7,25,27,-2,34,1.48
8,Cardiff City,23,12,9,2,33,20,+13,45,1.96,23,5,8,10,23,31,-8,23,1.00
9,Brentford,23,10,4,9,33,30,+3,34,1.48,23,9,4,10,39,37,+2,31,1.35
10,Birmingham City,23,9,5,9,27,27,0,32,1.39,23,7,10,6,26,22,+4,31,1.35
11,Preston,23,7,10,6,21,21,0,31,1.35,23,8,7,8,24,24,0,31,1.35
12,QPR,23,10,9,4,37,25,+12,39,1.70,23,4,9,10,17,29,-12,21,0.91
13,Leeds United,23,7,8,8,23,28,-5,29,1.26,23,7,9,7,27,30,-3,30,1.30
14,Wolves,23,7,10,6,26,26,0,31,1.35,23,7,6,10,27,32,-5,27,1.17
15,Blackburn,23,8,8,7,29,23,+6,32,1.39,23,5,8,10,17,23,-6,23,1.00
16,Nott'ham Forest,23,7,8,8,25,26,-1,29,1.26,23,6,8,9,18,21,-3,26,1.13
17,Reading,23,8,9,6,25,20,+5,33,1.43,23,5,4,14,27,39,-12,19,0.83
18,Bristol City,23,7,7,9,34,34,0,28,1.22,23,6,6,11,20,37,-17,24,1.04
19,Huddersfield,23,7,6,10,33,33,0,27,1.17,23,6,6,11,26,37,-11,24,1.04
20,Fulham,23,8,5,10,36,36,0,29,1.26,23,4,10,9,30,43,-13,22,0.96
21,Rotherham Utd,23,8,6,9,31,34,-3,30,1.30,23,5,4,14,22,37,-15,19,0.83
22,Charlton Ath,23,5,8,10,23,35,-12,23,1.00,23,4,5,14,17,45,-28,17,0.74
23,MK Dons,23,7,3,13,21,37,-16,24,1.04,23,2,9,12,18,32,-14,15,0.65
24,Bolton,23,5,11,7,24,26,-2,26,1.13,23,0,4,19,17,55,-38,4,0.17
