,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Barnsley,35,,46,506,,44,30,5,7,0,0,0.96,0.65,1.61,0.85,1.50
Birmingham City,39,,46,506,,58,33,3,3,0,0,1.26,0.72,1.98,1.20,1.91
Blackburn,32,,46,506,,69,52,4,4,0,0,1.50,1.13,2.63,1.41,2.54
Blackpool,38,,46,506,,37,20,3,4,0,0,0.80,0.43,1.24,0.74,1.17
Bolton,34,,46,506,,58,39,1,3,0,0,1.26,0.85,2.11,1.24,2.09
Bournemouth,27,,46,506,,66,34,10,12,0,0,1.43,0.74,2.17,1.22,1.96
Brighton,33,,46,506,,53,32,3,4,0,0,1.15,0.70,1.85,1.09,1.78
Burnley,23,,46,506,,69,50,5,6,0,0,1.50,1.09,2.59,1.39,2.48
Charlton Ath,35,,46,506,,41,27,1,3,0,0,0.89,0.59,1.48,0.87,1.46
Derby County,27,,46,506,,82,49,6,11,0,0,1.78,1.07,2.85,1.65,2.72
Doncaster,33,,46,506,,37,22,3,3,0,0,0.80,0.48,1.28,0.74,1.22
Huddersfield,29,,46,506,,56,38,3,5,0,0,1.22,0.83,2.04,1.15,1.98
Ipswich Town,26,,46,506,,58,38,2,3,0,0,1.26,0.83,2.09,1.22,2.04
Leeds United,29,,46,506,,58,39,2,5,0,0,1.26,0.85,2.11,1.22,2.07
Leicester City,23,,46,506,,80,54,10,14,0,0,1.74,1.17,2.91,1.52,2.70
Middlesbrough,35,,46,506,,61,38,2,2,0,0,1.33,0.83,2.15,1.28,2.11
Millwall,40,,46,506,,44,23,6,7,0,0,0.96,0.50,1.46,0.83,1.33
Nott'ham Forest,35,,46,506,,65,45,4,8,0,0,1.41,0.98,2.39,1.33,2.30
QPR,35,,46,506,,59,35,4,4,0,0,1.28,0.76,2.04,1.20,1.96
Reading,26,,46,506,,66,40,7,9,0,0,1.43,0.87,2.30,1.28,2.15
Sheffield Weds,39,,46,505,,60,31,4,5,0,0,1.30,0.67,1.98,1.22,1.89
Watford,37,,46,506,,74,43,8,9,0,0,1.61,0.93,2.54,1.43,2.37
Wigan Athletic,34,,46,506,,58,38,4,7,0,0,1.26,0.83,2.09,1.17,2.00
Yeovil Town,35,,46,506,,43,30,4,6,0,0,0.93,0.65,1.59,0.85,1.50
