,,Home,Home,Home,Home,Home,Home,Home,Home,Home,Away,Away,Away,Away,Away,Away,Away,Away,Away
Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G,MP,W,D,L,GF,GA,GDiff,Pts,Pts/G
1,Norwich City,23,15,4,4,51,34,+17,49,2.13,23,12,9,2,42,23,+19,45,1.96
2,Sheffield Utd,23,15,4,4,42,17,+25,49,2.13,23,11,7,5,36,24,+12,40,1.74
3,Leeds United,23,14,4,5,38,21,+17,46,2.00,23,11,4,8,35,29,+6,37,1.61
4,West Brom,23,12,7,4,53,31,+22,43,1.87,23,11,4,8,34,31,+3,37,1.61
5,Aston Villa,23,11,8,4,50,36,+14,41,1.78,23,9,8,6,32,25,+7,35,1.52
6,Derby County,23,13,7,3,40,20,+20,46,2.00,23,7,7,9,29,34,-5,28,1.22
7,Middlesbrough,23,10,6,7,23,17,+6,36,1.57,23,10,7,6,26,24,+2,37,1.61
8,Bristol City,23,8,8,7,28,26,+2,32,1.39,23,11,5,7,31,27,+4,38,1.65
9,Nott'ham Forest,23,13,4,6,34,21,+13,43,1.87,23,4,11,8,27,33,-6,23,1.00
10,Swansea City,23,12,6,5,42,28,+14,42,1.83,23,6,5,12,23,34,-11,23,1.00
11,Brentford,23,14,4,5,50,23,+27,46,2.00,23,3,9,11,23,36,-13,18,0.78
12,Sheffield Weds,23,10,8,5,34,27,+7,38,1.65,23,6,8,9,26,35,-9,26,1.13
13,Hull City,23,11,6,6,37,24,+13,39,1.70,23,6,5,12,29,44,-15,23,1.00
14,Preston,23,8,10,5,41,30,+11,34,1.48,23,8,3,12,26,37,-11,27,1.17
15,Blackburn,23,10,7,6,32,21,+11,37,1.61,23,6,5,12,32,48,-16,23,1.00
16,Stoke City,23,8,9,6,26,24,+2,33,1.43,23,3,13,7,19,28,-9,22,0.96
17,Birmingham City,23,7,11,5,31,24,+7,32,1.39,23,7,8,8,33,34,-1,29,1.26
18,Wigan Athletic,23,11,8,4,29,20,+9,41,1.78,23,2,5,16,22,44,-22,11,0.48
19,QPR,23,9,3,11,33,31,+2,30,1.30,23,5,6,12,20,40,-20,21,0.91
20,Reading,23,8,6,9,29,31,-2,30,1.30,23,2,11,10,20,35,-15,17,0.74
21,Millwall,23,7,9,7,26,27,-1,30,1.30,23,3,5,15,22,37,-15,14,0.61
22,Rotherham Utd,23,7,8,8,32,38,-6,29,1.26,23,1,8,14,20,45,-25,11,0.48
23,Bolton,23,4,4,15,13,35,-22,16,0.70,23,4,4,15,16,43,-27,16,0.70
24,Ipswich Town,23,3,11,9,22,31,-9,20,0.87,23,2,5,16,14,46,-32,11,0.48
