Squad,# Pl,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA
Derby County,27,47.9,46,506,4140,70,50,8,9,60,4,1.52,1.09,2.61,1.35,2.43,,,,,,,,
Fulham,28,60,46,506,4140,77,49,4,5,60,4,1.67,1.07,2.74,1.59,2.65,,,,,,,,
Hull City,29,50.1,46,506,4140,67,47,6,9,60,4,1.46,1.02,2.48,1.33,2.35,,,,,,,,
Ipswich Town,35,45.5,46,506,4140,56,42,1,2,60,4,1.22,0.91,2.13,1.2,2.11,,,,,,,,
Leeds United,31,49.8,46,506,4140,57,42,1,2,60,4,1.24,0.91,2.15,1.22,2.13,,,,,,,,
Middlesbrough,28,48.7,46,506,4140,66,43,4,6,60,4,1.43,0.93,2.37,1.35,2.28,,,,,,,,
Millwall,24,41.5,46,506,4140,54,39,2,4,60,4,1.17,0.85,2.02,1.13,1.98,,,,,,,,
Norwich City,28,55.3,46,506,4140,47,35,4,5,60,4,1.02,0.76,1.78,0.93,1.7,,,,,,,,
Nott'ham Forest,35,54.2,46,506,4140,51,32,3,4,60,4,1.11,0.7,1.8,1.04,1.74,,,,,,,,
Preston,28,52.3,46,506,4140,56,38,4,6,60,4,1.22,0.83,2.04,1.13,1.96,,,,,,,,
QPR,31,50.8,46,506,4140,57,43,2,3,60,4,1.24,0.93,2.17,1.2,2.13,,,,,,,,
Reading,28,55.3,46,506,4140,44,30,3,3,60,4,0.96,0.65,1.61,0.89,1.54,,,,,,,,
Sheffield Utd,30,53.1,46,506,4140,61,45,2,2,60,4,1.33,0.98,2.3,1.28,2.26,,,,,,,,
Sheffield Weds,35,50.3,46,506,4140,59,43,4,4,60,4,1.28,0.93,2.22,1.2,2.13,,,,,,,,
Sunderland,35,47.4,46,505,4140,49,36,5,6,60,4,1.07,0.78,1.85,0.96,1.74,,,,,,,,
Wolves,31,54.4,46,506,4140,81,57,5,6,60,4,1.76,1.24,3,1.65,2.89,,,,,,,,
