Squad,# Pl,Poss,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK
Arsenal,29,56.6,38,418,3420,69,47,6,7,69,2,1.82,1.24,3.05,1.66,2.89
Aston Villa,27,49.0,38,418,3420,31,23,1,1,73,7,0.82,0.61,1.42,0.79,1.39
Burnley,24,42.5,38,418,3420,27,22,1,2,65,2,0.71,0.58,1.29,0.68,1.26
Chelsea,25,55.9,38,418,3420,72,59,4,5,74,4,1.89,1.55,3.45,1.79,3.34
Crystal Palace,30,40.4,38,418,3420,46,27,5,7,67,4,1.21,0.71,1.92,1.08,1.79
Everton,28,54.7,38,418,3420,47,31,4,7,68,2,1.24,0.82,2.05,1.13,1.95
Hull City,29,44.2,38,418,3420,32,22,1,1,74,6,0.84,0.58,1.42,0.82,1.39
Leicester City,28,43.5,38,418,3420,45,29,3,3,50,4,1.18,0.76,1.95,1.11,1.87
Liverpool,25,55.8,38,418,3420,48,30,5,6,68,3,1.26,0.79,2.05,1.13,1.92
Manchester City,24,59.8,38,418,3420,82,61,7,8,79,2,2.16,1.61,3.76,1.97,3.58
Manchester Utd,33,61.2,38,418,3420,60,41,3,5,66,5,1.58,1.08,2.66,1.5,2.58
Newcastle Utd,27,47.7,38,418,3420,40,30,1,1,72,7,1.05,0.79,1.84,1.03,1.82
QPR,32,45.2,38,418,3420,39,29,3,5,77,3,1.03,0.76,1.79,0.95,1.71
Southampton,29,53.1,38,418,3420,49,32,2,3,58,3,1.29,0.84,2.13,1.24,2.08
Stoke City,25,50.4,38,418,3420,47,30,3,3,83,1,1.24,0.79,2.03,1.16,1.95
Sunderland,25,45.2,38,417,3420,30,20,4,4,95,2,0.79,0.53,1.32,0.68,1.21
Swansea City,27,50.1,38,418,3420,43,34,2,2,51,5,1.13,0.89,2.03,1.08,1.97
Tottenham,27,57.0,38,418,3420,56,40,3,5,80,4,1.47,1.05,2.53,1.39,2.45
West Brom,26,43.7,38,418,3420,37,29,4,5,64,3,0.97,0.76,1.74,0.87,1.63
West Ham,28,45.6,38,418,3420,43,34,1,2,65,2,1.13,0.89,2.03,1.11,2.0
Birmingham City,31,,46,506,4140,53,32,5,7,0,0,1.15,0.7,1.85,1.04,1.74
Blackburn,30,,46,506,4140,66,44,2,3,0,0,1.43,0.96,2.39,1.39,2.35
Blackpool,50,,46,495,4140,35,22,1,2,0,0,0.76,0.48,1.24,0.74,1.22
Bolton,44,,46,506,4140,54,40,4,6,0,0,1.17,0.87,2.04,1.09,1.96
Bournemouth,24,,46,506,4140,97,67,11,16,0,0,2.11,1.46,3.57,1.87,3.33
Brentford,24,,46,506,4140,76,55,3,5,0,0,1.65,1.2,2.85,1.59,2.78
Brighton,35,,46,506,4140,43,31,3,3,0,0,0.93,0.67,1.61,0.87,1.54
Cardiff City,38,,46,506,4140,56,39,4,5,0,0,1.22,0.85,2.07,1.13,1.98
Charlton Ath,32,,46,506,4140,54,30,8,8,0,0,1.17,0.65,1.83,1.0,1.65
Derby County,31,,46,506,4140,81,57,6,9,0,0,1.76,1.24,3.0,1.63,2.87
Fulham,37,,46,506,4140,61,43,6,6,0,0,1.33,0.93,2.26,1.2,2.13
Huddersfield,36,,46,495,4140,57,40,3,5,0,0,1.24,0.87,2.11,1.17,2.04
Ipswich Town,31,,46,506,4140,71,43,2,3,0,0,1.54,0.93,2.48,1.5,2.43
Leeds United,34,,46,506,4140,48,24,2,3,0,0,1.04,0.52,1.57,1.0,1.52
Middlesbrough,30,,46,506,4140,67,45,8,9,0,0,1.46,0.98,2.43,1.28,2.26
Millwall,40,,46,506,4140,42,27,4,6,0,0,0.91,0.59,1.5,0.83,1.41
Norwich City,30,,46,506,4140,87,63,4,7,0,0,1.89,1.37,3.26,1.8,3.17
Nott'ham Forest,33,,46,506,4140,70,47,4,4,0,0,1.52,1.02,2.54,1.43,2.46
Reading,38,,46,506,4140,46,33,4,6,0,0,1.0,0.72,1.72,0.91,1.63
Rotherham Utd,42,,46,506,4140,45,29,1,2,0,0,0.98,0.63,1.61,0.96,1.59
Sheffield Weds,31,,46,506,4140,42,22,6,6,0,0,0.91,0.48,1.39,0.78,1.26
Watford,31,,46,506,4140,91,59,5,7,0,0,1.98,1.28,3.26,1.87,3.15
Wigan Athletic,41,,46,506,4140,38,28,1,3,0,0,0.83,0.61,1.43,0.8,1.41
Wolves,27,,46,506,4140,65,51,3,4,0,0,1.41,1.11,2.52,1.35,2.46
